job_id,job_title,company_name,company_state,employment_type,experience_level,company_size,image_link,employees,company_services,salary,original_title
3685414114,Deep Learning Engineer,Pony.ai,CA,Full-time,Associate,L,https://media.licdn.com/dms/image/C560BAQF8YpRmr4CNuA/company-logo_100_100/0/1630645776455/pony_ai_logo?e=1712188800&v=beta&t=FjjLsvoLg5Alqts3n-fugxvs2f7d9TpYrfHQ7LJaYY0,"501-1,000 employees",IT Services and IT Consulting,157500.0,"Software Engineer, Deep Learning"
3686233978,Python Developer,Brooksource,MD,Contract,Entry level,L,https://media.licdn.com/dms/image/C4D0BAQEpBYagiK3vWA/company-logo_100_100/0/1631310603864?e=1712188800&v=beta&t=a1fS5jr1hJJRSHokgDH55VH4pTKeq5NMSk-1D3Ngce4,"1,001-5,000 employees",IT Services and IT Consulting,102720.0,Python Developer
3686577304,Deep Learning Engineer,KLA,MI,Full-time,Entry level,L,https://media.licdn.com/dms/image/C560BAQF6F4zFyo4WzQ/company-logo_100_100/0/1656661447198/klacorp_logo?e=1712188800&v=beta&t=gKbPHwmNP1gVnCk1yKSNVV1RegrGmwVmt-OKWdgjFG8,"10,001+ employees",Semiconductor Manufacturing,149700.0,Algorithm Engineer (Deep Learning/C++)(E)
3686805892,Senior Business Analyst,Rover.com,WA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C4D0BAQH5Nj0Zf25Qbw/company-logo_100_100/0/1631330746176?e=1712188800&v=beta&t=WzWOLa0letwk_8uKQ_M3aLX3R1CZpuCWUOPYoSl_Pcw,"501-1,000 employees",Consumer Services,150447.0,Senior Business Analyst - Marketing Analytics
3689801162,Research Scientist,ByteDance,CA,Internship,Entry level,L,https://media.licdn.com/dms/image/C560BAQGA-1ynUGnhlA/company-logo_100_100/0/1630658803864/bytedance_logo?e=1712188800&v=beta&t=ZZXLeEcJRd9XlgkxhtEdIeeiPTWNQM6EM5BAkMWoLc8,"10,001+ employees",Software Development,57.0,Research Scientist Intern (Machine Learning Sys-US) - 2024 Summer (PhD)
3690669825,Data Engineer,LinQuest,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/D560BAQHjIHqFeyMCXg/company-logo_100_100/0/1698840736875/linquest_logo?e=1712188800&v=beta&t=P_9_6QKBnD6KDq7ltETeliINfRKs2B0WWzaJxnQfKoI,"1,001-5,000 employees",Defense and Space Manufacturing,115000.0,Junior Data Engineer
3690784971,Data Architect,Stanford University,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQHr9suxyJBXMw/company-logo_100_100/0/1635534378870/stanford_university_logo?e=1712188800&v=beta&t=NyUQShVMhVcNxtn2WtNLvfEu7XA3hLXrHpzcCc_eTcs,"10,001+ employees",Higher Education,109500.0,Neural Data Architect
3691330007,Senior Machine Learning Engineer,TikTok,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C510BAQGCdThXIss7UQ/company-logo_100_100/0/1630606162248/tiktok_logo?e=1712188800&v=beta&t=TnKOeulgrxOnJlI9SSXh4fTDEGqREutfoACQXiEx7ZU,"10,001+ employees",Entertainment Providers,233520.0,"Senior Machine Learning Engineer - AIGC Model, TikTok Monetization GenAI"
3691699630,Research Scientist,NVIDIA,CA,Full-time,Entry level,L,https://media.licdn.com/dms/image/C560BAQFDs6GbpvE3zA/company-logo_100_100/0/1630584931971/nvidia_logo?e=1712188800&v=beta&t=3rSWyGm_Rhq8dif50FGLKrbiW9lcxWPSHTHX7a8oIT0,"10,001+ employees",Computer Hardware Manufacturing,201625.0,"Research Scientist, Computer Vision and Deep Learning - New College Grad 2024"
3691902210,Research Scientist,NVIDIA,CA,Full-time,Entry level,L,https://media.licdn.com/dms/image/C560BAQFDs6GbpvE3zA/company-logo_100_100/0/1630584931971/nvidia_logo?e=1712188800&v=beta&t=3rSWyGm_Rhq8dif50FGLKrbiW9lcxWPSHTHX7a8oIT0,"10,001+ employees",Computer Hardware Manufacturing,201625.0,"Research Scientist, Efficient Deep Learning - New College Grad 2024"
3693548863,Business Analyst,Kforce Inc,FL,Contract,Associate,L,https://media.licdn.com/dms/image/C4D0BAQEtonVHDHqAZQ/company-logo_100_100/0/1639415775313/kforce_logo?e=1712188800&v=beta&t=HkoQMTWa4yn9vdXOuXNslkr4FIjKI6rkPKaKP7ib7Wo,"1,001-5,000 employees",IT Services and IT Consulting,60480.0,Business Analyst
3694034911,Senior Deep Learning Engineer,"Volkswagen of America, Inc",CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C4D0BAQHdxVh-1tBu2w/company-logo_100_100/0/1630503942561/volkswagen_of_america_inc_logo?e=1712188800&v=beta&t=mF6Tfegmu989NN4kw8T5kugM4unsQh4KTRCXo00AWQc,"1,001-5,000 employees",Motor Vehicle Manufacturing,159200.0,Senior Deep Learning (AI) Engineer
3694282419,Senior Data Scientist,Tencent,CA,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQGLiulTOZIebQ/company-logo_100_100/0/1630648290063/tencentglobal_logo?e=1712188800&v=beta&t=brPSHGFDvvrR_OIoU5e5H1yOTEmBlGwBXIn8PSGDw5k,"10,001+ employees",Software Development,157810.0,Senior Data Scientist
