job_id,job_title,company_name,company_state,salary_range,remote_ratio,employment_type,experience_level,company_size,image_link
3694028066,Machine Learning Engineer Intern (Responsible Recommendation System) - 2024 Summer (PhD),TikTok,"· San José, CA",167.200 $/año - 250.800 $/año,Híbrido,Jornada completa,Intermedio,Más de 10.001 empleados · Proveedores de entretenimiento,https://media.licdn.com/dms/image/C510BAQGCdThXIss7UQ/company-logo_100_100/0/1630606162248/tiktok_logo?e=1709769600&v=beta&t=zFlqgVYGOAf8IAL9AMOqmhIluFrwBdNq6gNNr4tz9uQ
3694034911,Senior Deep Learning (AI) Engineer,"Volkswagen of America, Inc","· Belmont, CA",167.200 $/año - 250.800 $/año,Híbrido,Jornada completa,Intermedio,De 1.001 a 5.000 empleados · Fabricación de vehículos de motor,https://media.licdn.com/dms/image/C4D0BAQHdxVh-1tBu2w/company-logo_100_100/0/1630503942561/volkswagen_of_america_inc_logo?e=1709769600&v=beta&t=qiUpUEbEZW21FGhQ05PizYmgdSX_htHvadTrFxAW1wU
3694946071,Lead Data Scientist,Comcast,"· Filadelfia, PA",167.200 $/año - 250.800 $/año,Híbrido,Jornada completa,Intermedio,Más de 10.001 empleados · Telecomunicaciones,https://media.licdn.com/dms/image/C560BAQGT4d_JDjXclg/company-logo_100_100/0/1630612186529/comcast_logo?e=1709769600&v=beta&t=R42TqwVDJPlP0-qt4SikkGc95v3-TcqzleOFKSb8SYc
3695835326,Data Management and Analysis Co-op/Intern - Summer 2024,"American Honda Motor Company, Inc.",· Cleveland y alrededores,"17,87 $/h - 23,96 $/h",Presencial,Prácticas,,Más de 10.001 empleados · Fabricación de vehículos de motor,https://media.licdn.com/dms/image/C4E0BAQHNId7SexC_OQ/company-logo_100_100/0/1631325489031?e=1709769600&v=beta&t=-5qTS3wFwYNPmNnz7-nRcBU3dnjrfo_Da_epVzRITy0
3697918396,Data Scientist Intern (Global Monetization Product and Technology-Data Science and Analytics) - 2024 Summer (BS/MS),TikTok,"· San José, CA","17,87 $/h - 23,96 $/h",Presencial,Prácticas,,Más de 10.001 empleados · Proveedores de entretenimiento,https://media.licdn.com/dms/image/C510BAQGCdThXIss7UQ/company-logo_100_100/0/1630606162248/tiktok_logo?e=1709769600&v=beta&t=zFlqgVYGOAf8IAL9AMOqmhIluFrwBdNq6gNNr4tz9uQ
3700083571,Lead Data Scientist,Burtch Works,"· Boston, MA",200.000 $/año - 240.000 $/año,Híbrido,Jornada completa,Director,De 11 a 50 empleados · Dotación y selección de personal,https://media.licdn.com/dms/image/D560BAQGI80kVo4t7hg/company-logo_100_100/0/1698938235961/burtch_works_logo?e=1709164800&v=beta&t=JHpeihdTasQw0lFQMACAU9ripx2gzmUcr5w-0MhR3dc
3704586477,Sr Data Scientist,The Walt Disney Company,"· Santa Mónica, CA",136.038 $/año - 182.490 $/año,Presencial,Jornada completa,Intermedio,Más de 10.001 empleados · Proveedores de entretenimiento,https://media.licdn.com/dms/image/C4E0BAQE7OIxItpOtzA/company-logo_100_100/0/1672755875596/the_walt_disney_company_logo?e=1709769600&v=beta&t=Khmufzy2Va1G09gJG5A1xnIh8XhofX4EU_LezHjFyPM
3705236247,Business Intelligence Analyst Intern,Marmon Glove Group,"· Skokie, IL",136.038 $/año - 182.490 $/año,Presencial,Jornada completa,Intermedio,De 51 a 200 empleados · Oficinas ejecutivas,https://media.licdn.com/dms/image/C4E0BAQHfZtSRAFofAA/company-logo_100_100/0/1631367135471/marmon_retail_products_logo?e=1709769600&v=beta&t=mF436f-VPoYbL0dB9zsxESRL7dfKrVloo5XtrQea9M4
3709980910,"Data Scientist, Product",OpenAI,"· San Francisco, CA",136.038 $/año - 182.490 $/año,Presencial,Jornada completa,Intermedio,De 201 a 500 empleados · Servicios de investigación,https://media.licdn.com/dms/image/C4E0BAQG0lRhNgYJCXw/company-logo_100_100/0/1678382029963/openai_logo?e=1709769600&v=beta&t=AbaZn7KWiNs0octm51McH_B6_DAqXsNuiwJQ1a6s3T4
3710010128,Vision Machine Learning Engineer - US Remote,Hugging Face,"· Nueva York, NY",136.038 $/año - 182.490 $/año,Presencial,Jornada completa,Intermedio,De 51 a 200 empleados · Desarrollo de software,https://media.licdn.com/dms/image/C4D0BAQFzIxlpQ0lAdA/company-logo_100_100/0/1630556211624/huggingface_logo?e=1709769600&v=beta&t=w5juUSvxgFeIh2J665X3V1XEAKtldmbQIhAQ_A4c-IQ
3710141452,2024 Early Career Program: Associate Data Analyst,RVO Health,"· Charlotte, NC",70.000 $/yr,En remoto,Jornada completa,Intermedio,De 1.001 a 5.000 empleados · Hospitales y atención sanitaria,https://media.licdn.com/dms/image/C4D0BAQEiZbcMGKr7TQ/company-logo_100_100/0/1656435035120/rvohealth_logo?e=1709769600&v=beta&t=fbMdznmf-srmKntCyQh48PTsR4rFgIhuRd0YOIXyXF8
3711696827,Data Scientist / Statistician Intern Summer 2024 (Bachelor's),The Lubrizol Corporation,"· Wickliffe, OH",70.000 $/yr,En remoto,Jornada completa,Intermedio,De 5.001 a 10.000 empleados · Fabricación de productos químicos,https://media.licdn.com/dms/image/C560BAQHgFRlVosK9bA/company-logo_100_100/0/1631328917328?e=1709769600&v=beta&t=4p1hYXTIbzf5v-gwKMXrs1ad8JNajfpbqmTVlyd8qIk
3712102129,Data Scientist / Statistician Intern Summer 2024 (MS/PhD),The Lubrizol Corporation,"· Wickliffe, OH",70.000 $/yr,En remoto,Jornada completa,Intermedio,De 5.001 a 10.000 empleados · Fabricación de productos químicos,https://media.licdn.com/dms/image/C560BAQHgFRlVosK9bA/company-logo_100_100/0/1631328917328?e=1709164800&v=beta&t=AJdBnAnyN-_LTG3kYnLva8maBhEIxzM6lzGKoIDXA8Y
3712731870,Artificial Learning Engineer,Agilysys,"· Alpharetta, GA",70.000 $/yr,En remoto,Jornada completa,Intermedio,De 1.001 a 5.000 empleados · Desarrollo de software,https://media.licdn.com/dms/image/C560BAQHOZBfmphh02w/company-logo_100_100/0/1668202012623/agilysys_logo?e=1709769600&v=beta&t=JYA-1eCEZKg4bsYvvLaUFfVVNb2gHETJFFFvrdvNSQw
